BEGIN_YEARMONTH,Begin_Year,Begin_Month,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,End_Year,End_Month,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,Units,PropertyDamageValue,AbsPropertyDamage,DAMAGE_CROPS,Units2,CropDamageValue,AbsCropDamage,TotalDamage,TotalDamageValue,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201610,2016,10,9,45,201610,2016,10,13,0,109645,663532,NORTH CAROLINA,37,2016,October,Flood,C,83,HALIFAX,RAH,10/9/2016 0:45,EST-5,10/13/2016 0:00,0,0,0,0,73.50M,M,73.50,73500000,20.00M,M,20.00,20000000,93500000,93500000,,,Heavy Rain / Tropical System,,,,,,,,,4,W,SUMMIT,3,NNE,TILLERY,36.4628,-77.8862,36.2876,-77.4687,"Hurricane Matthew skirted by the North Carolina coast on October 8, 2016, dropping torrential rainfall of 8 to 15 inches and producing wind gusts of 50 to 70 mph across Central and Eastern North Carolina. The large swath of 8 to 15 inches of rain across Eastern and Central North Carolina, caused devastating and life threatening flash flooding, that evolved into major and record setting river flooding along portions of the Neuse, Cape Fear, and Tar river basins. ||Matthew???s inland flood waters resulted in 11 direct fatalities within the WFO RAH CWA, approximately $686 million in property damage to flooded homes and businesses, and $150 million in crop damage. Countless roads and highways were underwater, along with with numerous roads washed out, including sections of Interstates 95 and 40. Besides the 11 direct fatalities, at least 3 indirect fatalities also occurred. ||In addition, the associated strong wind gusts of 50 to 70 mph resulted in 1 fatality, when a tree fell onto a moving vehicle. Finally, the associated EF-1 tornado in Wayne County resulted in $75 thousand in property damage.","Heavy rainfall of 5 to 8 inches caused widespread flash flooding across the county.  Additional heavy rainfall upstream caused moderate flooding along Fishing Creek near Enfield. Flooding damaged approximately 311 structures throughout the county, resulting in $73.5 million in property damage.  Numerous streets and roads were reported flooded, with several washouts reported.",CSV
201610,2016,10,8,1000,201610,2016,10,8,2300,109645,663533,NORTH CAROLINA,37,2016,October,High Wind,Z,88,CUMBERLAND,RAH,10/8/2016 10:00,EST-5,10/8/2016 23:00,0,0,0,0,1.00M,M,1.00,1000000,0.00K,K,0.00,0,1000000,1000000,56,EG,,,,,,,,,,,,,,,,,,,,"Hurricane Matthew skirted by the North Carolina coast on October 8, 2016, dropping torrential rainfall of 8 to 15 inches and producing wind gusts of 50 to 70 mph across Central and Eastern North Carolina. The large swath of 8 to 15 inches of rain across Eastern and Central North Carolina, caused devastating and life threatening flash flooding, that evolved into major and record setting river flooding along portions of the Neuse, Cape Fear, and Tar river basins. ||Matthew???s inland flood waters resulted in 11 direct fatalities within the WFO RAH CWA, approximately $686 million in property damage to flooded homes and businesses, and $150 million in crop damage. Countless roads and highways were underwater, along with with numerous roads washed out, including sections of Interstates 95 and 40. Besides the 11 direct fatalities, at least 3 indirect fatalities also occurred. ||In addition, the associated strong wind gusts of 50 to 70 mph resulted in 1 fatality, when a tree fell onto a moving vehicle. Finally, the associated EF-1 tornado in Wayne County resulted in $75 thousand in property damage.","Frequent wind gusts of 50 to 70 mph resulted in numerous trees down across Cumberland County, including on homes, cars, power lines and damage to structures. Numerous customers lost power in Cumberland County as a result of the high winds.",CSV
201610,2016,10,9,45,201610,2016,10,13,0,109645,663500,NORTH CAROLINA,37,2016,October,Flood,C,127,NASH,RAH,10/9/2016 0:45,EST-5,10/13/2016 0:00,0,0,0,0,213.40M,M,213.40,213400000,20.00M,M,20.00,20000000,233400000,233400000,,,Heavy Rain / Tropical System,,,,,,,,,2,NNW,MIDDLESEX,1,W,AVENTON,35.8028,-78.2275,36.1515,-77.961,"Hurricane Matthew skirted by the North Carolina coast on October 8, 2016, dropping torrential rainfall of 8 to 15 inches and producing wind gusts of 50 to 70 mph across Central and Eastern North Carolina. The large swath of 8 to 15 inches of rain across Eastern and Central North Carolina, caused devastating and life threatening flash flooding, that evolved into major and record setting river flooding along portions of the Neuse, Cape Fear, and Tar river basins. ||Matthew???s inland flood waters resulted in 11 direct fatalities within the WFO RAH CWA, approximately $686 million in property damage to flooded homes and businesses, and $150 million in crop damage. Countless roads and highways were underwater, along with with numerous roads washed out, including sections of Interstates 95 and 40. Besides the 11 direct fatalities, at least 3 indirect fatalities also occurred. ||In addition, the associated strong wind gusts of 50 to 70 mph resulted in 1 fatality, when a tree fell onto a moving vehicle. Finally, the associated EF-1 tornado in Wayne County resulted in $75 thousand in property damage.","Torrential rainfall of 8 to 12 inches caused widespread flash flooding across the county. Additional heavy rainfall upstream caused major flooding along the Tar River Basin. Flooding damaged approximately 1,761 structures throughout the county, resulting in $213.4 million in property damage, and $20 million in crop damage.  Numerous streets and roads were reported flooded, with several washouts reported on secondary roads.",CSV
201610,2016,10,9,45,201610,2016,10,13,0,109645,663509,NORTH CAROLINA,37,2016,October,Flood,C,65,EDGECOMBE,RAH,10/9/2016 0:45,EST-5,10/13/2016 0:00,0,0,0,0,69.10M,M,69.10,69100000,20.00M,M,20.00,20000000,89100000,89100000,,,Heavy Rain / Tropical System,,,,,,,,,1,SSE,WHITAKERS,2,NE,LEGGETT,36.1096,-77.7156,36.002,-77.5429,"Hurricane Matthew skirted by the North Carolina coast on October 8, 2016, dropping torrential rainfall of 8 to 15 inches and producing wind gusts of 50 to 70 mph across Central and Eastern North Carolina. The large swath of 8 to 15 inches of rain across Eastern and Central North Carolina, caused devastating and life threatening flash flooding, that evolved into major and record setting river flooding along portions of the Neuse, Cape Fear, and Tar river basins. ||Matthew???s inland flood waters resulted in 11 direct fatalities within the WFO RAH CWA, approximately $686 million in property damage to flooded homes and businesses, and $150 million in crop damage. Countless roads and highways were underwater, along with with numerous roads washed out, including sections of Interstates 95 and 40. Besides the 11 direct fatalities, at least 3 indirect fatalities also occurred. ||In addition, the associated strong wind gusts of 50 to 70 mph resulted in 1 fatality, when a tree fell onto a moving vehicle. Finally, the associated EF-1 tornado in Wayne County resulted in $75 thousand in property damage.","Torrential rainfall of 8 to 12 inches caused widespread flash flooding across the county. Additional heavy rainfall upstream caused major flooding along the Tar River Basin. Flooding damaged approximately 3,493 structures throughout the county, resulting in $69.1 million in property damage, and $20 million in crop damage.  Numerous streets and roads were reported flooded, with several washouts reported on secondary roads.",CSV
201605,2016,05,26,1130,201605,2016,05,26,1138,104613,628303,TEXAS,48,2016,May,Tornado,C,41,BRAZOS,HGX,5/26/2016 11:30,CST-6,5/26/2016 11:38,0,0,0,0,7.00M,M,7.00,7000000,0K,K,0,0,7000000,7000000,,,,,EF1,2.86,50,,,,,3,NW,HARVEY,3,WSW,HARVEY,30.6792,-96.3106,30.6386,-96.3202,"Strong upper level disturbances combined with above average moisture levels and favorable upper level wind patterns to produce a round of severe thunderstorms that eventually trained and produced excessive rainfall and flash flood during the afternoon hours of the 26th and on into the overnight and early morning hours of the 27th. Rainfall totals of 6 to 10 inches were common over the north and northwestern parts of Harris County into Waller, Montgomery, and Washington Counties, with much of the rain falling in a 3 to 6 hour period. Portions of Washington County recorded over 12 inches of rainfall in a 3 hour period. This event was the fourth federal disaster declaration for Harris County in the last year.",Tornado touched down in College Station near the 900 block of Lincoln Avenue. It then followed an intermittent track through the Home Depot parking lot then across Route 6 just north of the intersection with University Drive. It crossed a field then produced a more continuous damage path through the Wheeler Ridge subdivision then across the Miramont subdivision. The tornado was observed to lift just north near the intersection of route 1179 and Riverstone Drive. The tornado was rated at the top of the EF1 scale as a few of the homes had significant portions of roofs removed. Majority of damage was EF0 to low-end EF1. Damage dollar amounts are estimated.,CSV
201603,2016,03,23,1200,201603,2016,03,28,2200,103394,617886,OKLAHOMA,40,2016,March,Wildfire,Z,5,WOODS,OUN,3/23/2016 12:00,CST-6,3/28/2016 22:00,0,0,0,0,1.00M,M,1.00,1000000,25.00K,K,25.00,25000,1025000,1025000,,,,,,,,,,,,,,,,,,,,,,"Amidst windy and dry conditions, grass fires burned several thousand acres in Woods county and 725 acres across Blaine and Custer counties. The Woods county fire continued for about a week and spread into Comanche and Barber counties in Kansas, burning a total of 367,000 acres and destroying numerous structures and livestock.","Damages are a very rough estimate. Officials reported over 1,000 bales of hay, hundreds of miles of fence line and approximately 600 cattle lost in the Oklahoma portion of the fire. Kansas and Oklahoma officials reported 16 residential structures and 25 other minor structures were destroyed. There have been no reports of injuries or fatalities.",CSV
201610,2016,10,9,800,201610,2016,10,13,0,109645,663378,NORTH CAROLINA,37,2016,October,Flood,C,51,CUMBERLAND,RAH,10/9/2016 8:00,EST-5,10/13/2016 0:00,0,0,2,2,62.10M,M,62.10,62100000,20.00M,M,20.00,20000000,82100000,82100000,,,Heavy Rain / Tropical System,,,,,,,,,4,WSW,(FBG)FT BRAGG,2,NE,WADE,35.1525,-79.059,35.1908,-78.7294,"Hurricane Matthew skirted by the North Carolina coast on October 8, 2016, dropping torrential rainfall of 8 to 15 inches and producing wind gusts of 50 to 70 mph across Central and Eastern North Carolina. The large swath of 8 to 15 inches of rain across Eastern and Central North Carolina, caused devastating and life threatening flash flooding, that evolved into major and record setting river flooding along portions of the Neuse, Cape Fear, and Tar river basins. ||Matthew???s inland flood waters resulted in 11 direct fatalities within the WFO RAH CWA, approximately $686 million in property damage to flooded homes and businesses, and $150 million in crop damage. Countless roads and highways were underwater, along with with numerous roads washed out, including sections of Interstates 95 and 40. Besides the 11 direct fatalities, at least 3 indirect fatalities also occurred. ||In addition, the associated strong wind gusts of 50 to 70 mph resulted in 1 fatality, when a tree fell onto a moving vehicle. Finally, the associated EF-1 tornado in Wayne County resulted in $75 thousand in property damage.","Torrential rainfall of 12 to 15 inches caused widespread flash flooding across the county. The heavy rains caused at least 8 dams to breach in Cumberland County.  Additional rainfall upstream resulted in major flooding at both the Little River at Manchester and Cape Fear at Fayetteville. Flooding damaged approximately 4,050 structures throughout the county, resulting in $62.1 million in property damage and and at least $20 million in crop damage. There was more than 700 swift water rescues in Cumberland County alone. The flooding resulted in 2 direct fatalities. A 81 year old female was found dead inside her vehicle in the 100 block of Rhodes Pond Road. After flood waters receded, a 53 year old male was found less than 100 yards away from his vehicle near the Clinton Road exit on the southbound side of I-95.  There were also 2 indirect fatality.  A 63-year-old man died several days later from a pre-existing health condition after he was unable to refill his prescription medication due to flooded and impassable roadways. The second indirect fatality occurred several weeks later when a construction equipment operator died while repairing an earthen dam damaged by Hurricane Matthew. The victim was operating a Bobcat when the equipment overturned, trapping him underwater at McFayden Lake.",CSV
201603,2016,03,13,2015,201603,2016,03,13,2022,103380,623118,ARKANSAS,5,2016,March,Tornado,C,17,CHICOT,JAN,3/13/2016 20:15,CST-6,3/13/2016 20:22,1,0,0,0,2.50M,M,2.50,2500000,0.00K,K,0.00,0,2500000,2500000,,,,,EF1,6.36,300,LZK,AR,41,DESHA,1,SW,DERMOTT,2,ENE,HALLEY JCT,33.5082,-91.4509,33.5455,-91.3499,"As high pressure over the East Coast refused to move, a storm system approached the ArkLaMiss from the west and stalled just to the west of the region on March 7th. While warm moist air from the Gulf of Mexico filtered north and encompassed the region, a series of potent upper level disturbances began lifting northeast across the Lower Mississippi River Valley. This set the stage for multiple rounds of torrential rains that fell almost continuously across the ArkLaMiss from March 8th through March 12th. These prolonged torrential rains resulted in widespread flash flooding and river flooding across the region, with numerous area rivers reaching moderate and major flood stages. Floodwaters damaged numerous homes, businesses, and closed many primary and secondary roads across the region, with some secondary roads washed out. ||As the storm system finally exited the region late on the 12th, another fast moving, compact storm system followed in its wake during the evening of March 13th. This system brought another round of heavy rain to the Delta region, in addition to several reports of hail and damaging straight line winds. Tornadoes were spawned by this system as well, which included one that affected Chicot County.","This tornado started on the southwest side of Dermott just west of Buckner Lane. Here several trees were snapped. As it crossed Buckner, six power poles were taken down. It then crossed Trotter Street, where more trees were snapped with others uprooted. A fence was laid down as well. A few homes here had minor roof damage where shingles were blown off. The tornado then tracked across US Highway 165 where it moved through open field. It tracked into the South Delta Regional Correctional Facility. Quite a bit of damage was done to the facility as it took a direct hit. Several large sections of the outer fence were torn down. Five buildings on the south side of the complex sustained roof damage where shingles and sheet paper were removed. The gym building, a metal structure, was heavily damaged where a large section of wall was removed. The main building of the complex suffered roof damage where roughly half of the roof was lifted or had parts removed. The roof is not a typical roof; it has several layers. Large portions of the foam insulation were pulled out along with several sections of a thin roof covering. A couple of the guard watch towers had the windows blown out and some minor damage. One employee was injured trying to exit a tower and broke a leg. The tornado then moved into a wooded area, where trees were snapped and a metal carport was thrown and destroyed. As the tornado crossed Highway 35, many more trees were damaged. One home sustained minor roof damage on the south side of the highway. The tornado crossed US Highway 65 and snapped more trees. It then continued through a large wooded area and farmland and it moved into Desha County. It then crossed Highway 159 where many more trees were snapped and uprooted. Where it crossed Highway 159, a home sustained some minor roof damage and had the wood framed shed destroyed. A few power lines were down here as well. The tornado continued northeast into a wooded area where more trees were damaged. Though the tornado likely dissipated a bit farther east, no access was available to that area due to flooding. The total path length was 9.2 miles, with 2.6 miles of that in Desha County. The maximum estimated winds were 105 mph.",CSV
201610,2016,10,9,45,201610,2016,10,11,0,109645,663538,NORTH CAROLINA,37,2016,October,Flood,C,85,HARNETT,RAH,10/9/2016 0:45,EST-5,10/11/2016 0:00,0,0,1,0,9.10M,M,9.10,9100000,0.00K,K,0.00,0,9100000,9100000,,,Heavy Rain / Tropical System,,,,,,,,,1,SSE,DUNCAN,2,NE,ANGIER,35.5621,-78.8739,35.52,-78.7308,"Hurricane Matthew skirted by the North Carolina coast on October 8, 2016, dropping torrential rainfall of 8 to 15 inches and producing wind gusts of 50 to 70 mph across Central and Eastern North Carolina. The large swath of 8 to 15 inches of rain across Eastern and Central North Carolina, caused devastating and life threatening flash flooding, that evolved into major and record setting river flooding along portions of the Neuse, Cape Fear, and Tar river basins. ||Matthew???s inland flood waters resulted in 11 direct fatalities within the WFO RAH CWA, approximately $686 million in property damage to flooded homes and businesses, and $150 million in crop damage. Countless roads and highways were underwater, along with with numerous roads washed out, including sections of Interstates 95 and 40. Besides the 11 direct fatalities, at least 3 indirect fatalities also occurred. ||In addition, the associated strong wind gusts of 50 to 70 mph resulted in 1 fatality, when a tree fell onto a moving vehicle. Finally, the associated EF-1 tornado in Wayne County resulted in $75 thousand in property damage.","Torrential rainfall of 8 to 12 inches caused widespread flash flooding across the county. Additional heavy rainfall upstream caused moderate flooding along the Cape River Basin. Flooding damaged approximately 744 structures throughout the county, resulting in $9.1 million in property damage.  Numerous streets and roads were reported flooded, including Interstate 95 near Dunn, with several washouts reported on secondary roads. The flooding resulted in 1 direct fatality. A 74 year old man died when he drove past a barricade near Carolina Drive and was swept away into a flooded creek.",CSV
201610,2016,10,8,1200,201610,2016,10,9,44,109645,663565,NORTH CAROLINA,37,2016,October,Flash Flood,C,183,WAKE,RAH,10/8/2016 12:00,EST-5,10/9/2016 0:44,0,0,0,0,65.50M,M,65.50,65500000,0.00K,K,0.00,0,65500000,65500000,,,Heavy Rain / Tropical System,,,,,,,,,2,WSW,PURNELL,1,WNW,BARHAM,36.0138,-78.6072,35.9325,-78.4314,"Hurricane Matthew skirted by the North Carolina coast on October 8, 2016, dropping torrential rainfall of 8 to 15 inches and producing wind gusts of 50 to 70 mph across Central and Eastern North Carolina. The large swath of 8 to 15 inches of rain across Eastern and Central North Carolina, caused devastating and life threatening flash flooding, that evolved into major and record setting river flooding along portions of the Neuse, Cape Fear, and Tar river basins. ||Matthew???s inland flood waters resulted in 11 direct fatalities within the WFO RAH CWA, approximately $686 million in property damage to flooded homes and businesses, and $150 million in crop damage. Countless roads and highways were underwater, along with with numerous roads washed out, including sections of Interstates 95 and 40. Besides the 11 direct fatalities, at least 3 indirect fatalities also occurred. ||In addition, the associated strong wind gusts of 50 to 70 mph resulted in 1 fatality, when a tree fell onto a moving vehicle. Finally, the associated EF-1 tornado in Wayne County resulted in $75 thousand in property damage.","Heavy rainfall of 7 to 10 inches caused widespread flash flooding across the county.  Roads all throughout the county were closed due to flooding. Numerous homes and businesses were flooded as well, with numerous water rescues from people trapped in homes and vehicles. Flooding damaged approximately 2503 structures throughout the county, resulting in $65.5 million in property damage.",CSV
