FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
28854,581296,I,5/11/15 0:00,,,Vehicle/Towed Trailer
29155,594668,I,7/22/15 0:00,50,M,Other
28868,581686,D,5/9/15 0:00,20,M,In Water
28727,574301,I,4/25/15 0:00,77,M,In Water
28904,582240,D,5/25/15 0:00,23,M,In Water
28989,581620,D,5/23/15 0:00,42,M,Vehicle/Towed Trailer
31543,581656,D,5/24/15 0:00,18,F,Vehicle/Towed Trailer
28991,581658,D,5/24/15 0:00,6,M,Permanent Home
28992,581658,D,5/24/15 0:00,34,F,Permanent Home
28944,583293,D,5/12/15 0:00,25,M,In Water
28945,583296,D,5/23/15 0:00,20,M,In Water
28993,581658,D,5/24/15 0:00,42,M,Permanent Home
28994,581658,D,5/24/15 0:00,43,F,Permanent Home
28995,581658,D,5/24/15 0:00,71,F,Permanent Home
28996,581658,D,5/24/15 0:00,73,M,Permanent Home
28998,581658,D,5/24/15 0:00,4,F,Permanent Home
29191,583602,D,7/13/15 0:00,53,M,Heavy Equipment/Construction
28960,583774,I,6/27/15 0:00,4,F,Permanent Structure
28961,583774,I,6/27/15 0:00,29,F,Permanent Structure
29220,584092,D,7/13/15 0:00,34,M,In Water
29219,584092,D,7/13/15 0:00,74,F,Mobile/Trailer Home
29221,584092,D,7/13/15 0:00,22,M,Mobile/Trailer Home
29222,584092,D,7/13/15 0:00,56,M,Vehicle/Towed Trailer
29001,584159,I,6/23/15 0:00,79,M,Vehicle/Towed Trailer
29002,584620,D,7/24/15 0:00,58,M,In Water
29199,584656,D,7/13/15 0:00,78,F,Outside/Open Areas
29004,584996,I,6/21/15 0:00,2,F,Vehicle/Towed Trailer
29193,585032,D,7/14/15 0:00,67,M,Vehicle/Towed Trailer
29007,585096,D,6/12/15 0:00,31,M,Mobile/Trailer Home
29323,585097,D,8/4/15 0:00,1,F,Outside/Open Areas
29333,585274,D,7/30/15 0:00,38,M,Outside/Open Areas
