FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201707,18,0,32861,668164,"I","07/18/2017 00:00:00",74,"F","Vehicle/Towed Trailer",201607
201702,8,0,32955,665863,"D","02/08/2017 00:00:00",69,"F","Permanent Home",201611
201701,3,0,33020,674302,"I","01/03/2017 00:00:00",62,"M","Outside/Open Areas",201701
201701,6,0,33021,674302,"D","01/06/2017 00:00:00",43,"M","Outside/Open Areas",201701
201701,2,0,33036,675835,"D","01/02/2017 00:00:00",23,"F","Outside/Open Areas",201701
201701,2,0,33037,675835,"D","01/02/2017 00:00:00",29,"M","Outside/Open Areas",201701
201701,9,0,33094,675847,"I","01/09/2017 00:00:00",84,"M","Vehicle/Towed Trailer",201701
201701,5,0,31807,664829,"I","01/05/2017 00:00:00",53,"F","Vehicle/Towed Trailer",201701
201701,21,0,33091,676363,"D","01/21/2017 00:00:00",23,"F","Other",201701
201701,3,0,31808,664988,"I","01/03/2017 00:00:00",16,"F","Vehicle/Towed Trailer",201701
201701,5,0,32976,665799,"I","01/05/2017 00:00:00",55,"M","Vehicle/Towed Trailer",201701
201701,1,0,32900,666274,"I","01/01/2017 00:00:00",45,"M","Vehicle/Towed Trailer",201701
201701,12,0,33073,666584,"D","01/12/2017 00:00:00",29,"M","Outside/Open Areas",201701
201701,14,0,31843,666732,"I","01/14/2017 00:00:00",35,"M","Vehicle/Towed Trailer",201701
201701,14,0,31844,666733,"I","01/14/2017 00:00:00",22,"M","Vehicle/Towed Trailer",201701
201701,18,0,31846,666763,"I","01/18/2017 00:00:00",51,"M","Vehicle/Towed Trailer",201701
201701,23,0,31851,667029,"D","01/23/2017 00:00:00",60,"M","Outside/Open Areas",201701
201701,15,0,32862,668386,"D","01/15/2017 00:00:00",31,"M","In Water",201701
201701,15,0,32863,668386,"D","01/15/2017 00:00:00",3,"M","In Water",201701
201701,7,0,32866,668659,"D","01/07/2017 00:00:00",72,"M","Outside/Open Areas",201701
201701,10,0,32869,668660,"D","01/10/2017 00:00:00",35,"M","In Water",201701
201701,14,0,32968,668712,"D","01/14/2017 00:00:00",,"","Vehicle/Towed Trailer",201701
201701,22,0,32887,668749,"D","01/22/2017 00:00:00",54,"M","Mobile/Trailer Home",201701
201701,18,0,32904,668998,"D","01/18/2017 00:00:00",52,"F","In Water",201701
201701,4,0,32912,669731,"D","01/04/2017 00:00:00",38,"M","Outside/Open Areas",201701
201701,2,0,33105,669799,"D","01/02/2017 00:00:00",78,"M","In Water",201701
201701,22,0,32931,670192,"I","01/22/2017 00:00:00",43,"M","In Water",201701
201701,21,0,32930,670198,"D","01/21/2017 00:00:00",47,"F","In Water",201701
201701,30,0,33019,670214,"D","01/30/2017 00:00:00",22,"F","In Water",201701
201701,2,0,32932,670350,"D","01/02/2017 00:00:00",53,"F","Mobile/Trailer Home",201701
