YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201701,111564,676638,1,1.26,"WNW","ALMANOR",40.23,-121.19,4013800,12111400
201701,111564,676639,1,.69,"S","KYBURZ",38.77,-120.3,3846200,12018000
201701,111564,676641,1,4.25,"NE","LINCOLN",38.92,-121.22,3855200,12113200
201701,111564,676643,1,8.31,"N","PACIFIC",38.89,-120.51,3853400,12030600
201701,111564,676644,1,8.51,"ENE","WHEATLAND",39.04,-121.28,392400,12116800
201701,111564,676646,1,1.27,"ENE","BIDWELL BAR",39.56,-121.43,3933600,12125800
201701,111564,676648,1,.69,"S","EAST QUINCY",39.92,-120.9,3955200,12054000
201701,111564,676651,1,.88,"SW","PACIFIC",38.76,-120.51,3845600,12030600
201701,111564,676652,1,.88,"NW","ROCKLIN",38.81,-121.24,3848600,12114400
201701,111564,676653,1,7.56,"W","FALLEN LEAF",38.93,-120.21,3855800,12012600
201701,111564,676654,1,8.36,"N","PACIFIC",38.89,-120.48,3853400,12028800
201701,111564,676655,1,4.67,"NNE","LINCOLN",38.94,-121.24,3856400,12114400
201701,111564,676657,1,2.14,"NNW","CASTELLA",41.18,-122.33,4110800,12219800
201701,111564,676664,1,1.93,"NNW","DEL PASO HGTS",38.6267,-121.4805,3837602,12128830
201701,111564,676664,2,1.99,"N","DEL PASO HGTS",38.6286,-121.4731,3837716,12128386
201701,111564,676988,1,1,"N","COLFAX",39.1145,-120.95,396870,12057000
201701,111564,676988,2,.21,"S","SHADY GLEN",39.117,-120.95,397020,12057000
201701,111564,676988,3,.22,"SSE","SHADY GLEN",39.117,-120.9488,397020,12056928
201701,111564,676988,4,.39,"S","SHADY GLEN",39.1144,-120.9489,396864,12056934
201701,111564,677050,1,1.5,"W","SODA SPGS",39.3235,-120.4078,3919410,12024468
201701,111564,677050,2,1.41,"W","SODA SPGS",39.3195,-120.4064,3919170,12024384
201701,111564,677050,3,.62,"WNW","SODA SPGS",39.3228,-120.3909,3919368,12023454
201701,111564,677050,4,.63,"NNW","SODA SPGS",39.3286,-120.3841,3919716,12023046
201701,111564,677055,1,1.68,"SW","KYBURZ",38.7634,-120.3229,3845804,12019374
201701,111564,677055,2,1.54,"SW","KYBURZ",38.7668,-120.3231,3846008,12019386
201701,111564,677055,3,1.17,"SW","KYBURZ",38.77,-120.3175,3846200,12019050
201701,111564,677055,4,1.25,"SW","KYBURZ",38.7665,-120.3154,3845990,12018924
201701,111564,677100,1,.43,"NE","CHILI BAR",38.7742,-120.814,3846452,12048840
201701,111564,677100,2,.47,"NE","CHILI BAR",38.7738,-120.8128,3846428,12048768
201701,111564,677100,3,.38,"ENE","CHILI BAR",38.7725,-120.8137,3846350,12048822
201701,111564,677100,4,.37,"NE","CHILI BAR",38.7735,-120.8148,3846410,12048888
201701,111564,677106,1,.98,"NNW","SHADY GLEN",39.1322,-120.9594,397932,12057564
201701,111564,677106,2,.93,"NNW","SHADY GLEN",39.1316,-120.9589,397896,12057534
201701,111564,677106,3,.94,"NNW","SHADY GLEN",39.1314,-120.9595,397884,12057570
201701,111564,677106,4,.99,"NNW","SHADY GLEN",39.132,-120.96,397920,12057600
201701,111564,677354,1,3.62,"SE","BIRCHVILLE",39.299,-121.0955,3917940,1215730
201701,111564,677354,2,4,"SE","BIRCHVILLE",39.2974,-121.0882,3917844,1215292
201701,111564,677354,3,3.97,"SE","BIRCHVILLE",39.2923,-121.0939,3917538,1215634
201701,111484,672353,1,.65,"E","LIBERTY HILL",31.4008,-83.919,3124048,8355140
201701,111484,672354,1,2.61,"WSW","RED ROCK",31.5711,-83.9731,3134266,8358386
201701,111484,672355,1,3.15,"SW","SYLVESTER-WORTH ARPT",31.5125,-83.9204,3130750,8355224
