EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,EVENT_TYPE,CZ_NAME,BEGIN_DATE_TIME,END_DATE_TIME,TotalDamage,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
111565,665616,KENTUCKY,21,Strong Wind,LETCHER,1/10/2017 20:15,1/10/2017 20:15,2500,Broadcast Media,Strong winds developed ahead of a frontal boundary and strong area of low pressure. Wind gusts of up to 40 to 50 mph were experienced in the Bluegrass region and higher terrain of far eastern Kentucky. Isolated damage occurred in Letcher County near Mayking as a strong gust flipped a carport.,A local media outlet reported a carport was flipped over by a strong wind gust near Mayking.
112800,673892,CALIFORNIA,6,Flood,KERN,1/5/2017 17:00,1/5/2017 17:00,15000,Public,Low pressure moving southeastward into central CA from the Pacific Northwest allowed subtropical moisture stream to be pumped into the region bringing heavy rainfall to the San Joaquin Valley and foothill areas. Orographic lifting caused intensification of rains at times. Heavy mountain snows also occurred. Low clouds and fog from the orographic lifting also created dangerous driving conditions for the Kern County mountain passes.,"Public reported truck swept away in high water near Rockpile Road. However, no substantiating evidence had been received."
112998,677961,CALIFORNIA,6,Flood,KINGS,1/8/2017 0:00,1/11/2017 23:59,637190,Department of Highways,"A series of systems fed by a continued influx of very moist air was pushed into the central California interior through an atmospheric river set-up for several days. This created high snow levels between 9,000-10,000 feet and heavy rainfall for a majority of the San Joaquin Valley County Warning Area which in turn created flooding and flash flooding of area rivers, streams, and water supply canals. Also debris flows, rock slides, and road ponding/flooding was reported.",CalTrans reported accelerated pavement failure areas of Highway 41 across Kings County due to flood waters.
112800,673896,CALIFORNIA,6,Flood,KERN,1/5/2017 21:00,1/5/2017 21:00,36000,Public,Low pressure moving southeastward into central CA from the Pacific Northwest allowed subtropical moisture stream to be pumped into the region bringing heavy rainfall to the San Joaquin Valley and foothill areas. Orographic lifting caused intensification of rains at times. Heavy mountain snows also occurred. Low clouds and fog from the orographic lifting also created dangerous driving conditions for the Kern County mountain passes.,Public reported that three vehicles stuck in high water on Malaga Road near East Canal just west of Arvin in Kern County.
112800,673954,CALIFORNIA,6,Flood,KERN,1/5/2017 9:00,1/5/2017 9:00,6000,Department of Highways,Low pressure moving southeastward into central CA from the Pacific Northwest allowed subtropical moisture stream to be pumped into the region bringing heavy rainfall to the San Joaquin Valley and foothill areas. Orographic lifting caused intensification of rains at times. Heavy mountain snows also occurred. Low clouds and fog from the orographic lifting also created dangerous driving conditions for the Kern County mountain passes.,Kern County Department of Highways reported flooding in Lake Isabella at the intersection of Lake Isabella Road and Erskine Creek Road. Power poles were also reported leaning due to erosion in this area.
112124,668716,FLORIDA,12,Thunderstorm Wind,COLUMBIA,1/6/2017 21:00,1/6/2017 21:00,2000,Emergency Manager,A surface low pressure system formed in the Gulf of Mexico ahead of an approaching Arctic cold front. Scattered storms moved inland across the Florida Big Bend during the evening of the 6th and continued to track and develop eastward through the night ahead of the surface front. Hail and gusty winds occurred in isolated severe storms overnight.,A tree was blown down on home on NW Moore Road. The time of damage was based on radar. The cost of damage was estimated for inclusion of the event in Storm Data.
112124,668719,FLORIDA,12,Thunderstorm Wind,COLUMBIA,1/6/2017 21:00,1/6/2017 21:00,2000,Emergency Manager,A surface low pressure system formed in the Gulf of Mexico ahead of an approaching Arctic cold front. Scattered storms moved inland across the Florida Big Bend during the evening of the 6th and continued to track and develop eastward through the night ahead of the surface front. Hail and gusty winds occurred in isolated severe storms overnight.,"Trees and power lines were blown down along the Interstate 10 corridor from mile marker 298 to mile marker 301, which was just east of the I-10/I-75 interchange and near the U.S. Highway 441 exit off of interstate 10. Time of damage was based on radar imagery. The cost of damage was unknown but estimated for the event to be included in Storm Data."
112126,668731,GEORGIA,13,Thunderstorm Wind,CLINCH,1/21/2017 15:30,1/21/2017 15:30,5000,Emergency Manager,"A pre-frontal squall line combine moved across SE GA during the afternoon. Fueled by cold temperatures aloft and an increasing SW low level flow, the storms produced severe hail and damaging wind gusts.",A shelter was blown down on two vehicles along Leland Smith Road. The cost of damage was unknown but it was estimated for the event to be included in Storm Data.
112129,668744,FLORIDA,12,Thunderstorm Wind,MARION,1/22/2017 15:00,1/22/2017 15:00,3000,Amateur Radio,"An exceptionally rare high risk of severe storms was issued for the local forecast area with extremely strong shear including a 70 kt 850 mb jet combined with an anomalously deep mid level trough across the Gulf Coast region pumped Gulf of Mexico moisture and instability across the area head of a potent storm system. Two waves of severe storms moved across the forecast area, once during the pre-dawn and early morning hours across SE GA, then another squall line of discrete supercells and leading supercells across both SE GA and NE FL in the afternoon and evening. Three tornado touchdowns were confirmed in SE GA during this time period with 1 fatality in Columbia county Florida due to a tree falling on a mobile home. This was a very unusual strong storm system that brought all modes of severe weather to the Jacksonville Forecast area.","A tree was blown down onto a street lamp. The street lamp fell on a home. This occurred in the the On Top of the World subdivision. The cost of damage was unknown, but it was estimated for the event to be included in Storm Data."
112129,668745,FLORIDA,12,Thunderstorm Wind,MARION,1/22/2017 15:20,1/22/2017 15:20,50,Public,"An exceptionally rare high risk of severe storms was issued for the local forecast area with extremely strong shear including a 70 kt 850 mb jet combined with an anomalously deep mid level trough across the Gulf Coast region pumped Gulf of Mexico moisture and instability across the area head of a potent storm system. Two waves of severe storms moved across the forecast area, once during the pre-dawn and early morning hours across SE GA, then another squall line of discrete supercells and leading supercells across both SE GA and NE FL in the afternoon and evening. Three tornado touchdowns were confirmed in SE GA during this time period with 1 fatality in Columbia county Florida due to a tree falling on a mobile home. This was a very unusual strong storm system that brought all modes of severe weather to the Jacksonville Forecast area.","About 5 oak tree branches 2 inches thick were blown down at 41st St. Estimated wind speed was 50 mph. The cost of damage was unknown, but estimated for the event to be  included in Storm Data."
