NAME,Population
ALABAMA,4853875
ALASKA,737709
ARIZONA,6817565
ARKANSAS,2977853
CALIFORNIA,38993940
COLORADO,5448819
CONNECTICUT,3584730
DELAWARE,944076
DISTRICT OF COLUMBIA,670377
FLORIDA,20244914
GEORGIA,10199398
HAWAII,1425157
IDAHO,1652828
ILLINOIS,12839047
INDIANA,6612768
IOWA,3121997
KANSAS,2906721
KENTUCKY,4424611
LOUISIANA,4668960
MAINE,1329453
MARYLAND,5994983
MASSACHUSETTS,6784240
MICHIGAN,9917715
MINNESOTA,5482435
MISSISSIPPI,2989390
MISSOURI,6076204
MONTANA,1032073
NEBRASKA,1893765
NEVADA,2883758
NEW HAMPSHIRE,1330111
NEW JERSEY,8935421
NEW MEXICO,2080328
NEW YORK,19747183
NORTH CAROLINA,10035186
NORTH DAKOTA,756835
OHIO,11605090
OKLAHOMA,3907414
OREGON,4024634
PENNSYLVANIA,12791904
RHODE ISLAND,1055607
SOUTH CAROLINA,4894834
SOUTH DAKOTA,857919
TENNESSEE,6595056
TEXAS,27429639
UTAH,2990632
VERMONT,626088
VIRGINIA,8367587
WASHINGTON,7160290
WEST VIRGINIA,1841053
WISCONSIN,5767891
WYOMING,586555
